MONTH,TIME_PER_HOUR,STATION_ID,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME,IN_FLOW_NORM,OUT_FLOW_NORM,IS_WEEKEND
9,0,60,161,1684,5.087596335232384,7.429520842786462,0
9,0,61,118,966,4.77912349311153,6.874198495453294,0
9,0,62,471,2874,6.156978985585555,7.963807953231451,0
9,0,63,297,687,5.697093486505405,6.5337888379333435,0
9,0,64,887,6972,6.78897174299217,8.84980082722101,0
9,0,65,0,504,0.0,6.22455842927536,0
9,0,66,542,1247,6.297109319933935,7.129297548929373,0
9,0,67,213,169,5.365976015021851,5.135798437050262,0
9,0,68,205,1432,5.327876168789581,7.267525427828172,0
9,0,69,86,1218,4.465908118654584,7.105786129481271,0
9,0,70,794,7286,6.678342114654332,8.893847217670283,0
9,0,71,162,535,5.093750200806762,6.284134161070802,0
9,0,72,13,168,2.6390573296152584,5.1298987149230735,0
9,0,73,1,177,0.6931471805599453,5.181783550292085,0
9,0,74,476,2199,6.1675164908883415,7.696212639346407,0
9,0,75,90,1587,4.51085950651685,7.370230641807081,0
9,0,76,82,337,4.418840607796598,5.823045895483019,0
9,0,77,33,53,3.5263605246161616,3.9889840465642745,0
9,0,78,304,120,5.720311776607412,4.795790545596741,0
9,0,80,85,497,4.454347296253507,6.210600077024653,0
9,0,81,177,889,5.181783550292085,6.7912214627261855,0
9,0,82,120,167,4.795790545596741,5.123963979403259,0
9,0,83,84,84,4.442651256490317,4.442651256490317,0
9,0,84,44,223,3.8066624897703196,5.4116460518550396,0
9,0,85,696,5387,6.546785410760524,8.591929537530255,0
9,0,86,49,698,3.912023005428146,6.54965074223381,0
9,0,87,517,3719,6.249975242259483,8.221478947267192,0
9,0,88,43,311,3.784189633918261,5.7430031878094825,0
9,0,89,155,205,5.049856007249537,5.327876168789581,0
9,0,90,2,50,1.0986122886681098,3.9318256327243257,0
9,0,91,4,365,1.6094379124341003,5.902633333401366,0
9,0,92,244,450,5.501258210544727,6.111467339502679,0
9,0,93,596,3073,6.391917113392602,8.03073492409854,0
9,0,94,222,613,5.407171771460119,6.419994928147142,0
9,0,95,79,469,4.382026634673881,6.152732694704104,0
9,0,96,1,0,0.6931471805599453,0.0,0
9,0,97,1477,539,7.298445101508147,6.29156913955832,0
9,0,98,38,171,3.6635616461296463,5.147494476813453,0
9,0,99,12,212,2.5649493574615367,5.3612921657094255,0
9,0,100,11,188,2.4849066497880004,5.241747015059643,0
9,0,101,47,192,3.871201010907891,5.262690188904886,0
9,0,102,30,142,3.4339872044851463,4.962844630259907,0
9,0,103,48,463,3.8918202981106265,6.139884552226255,0
9,0,104,111,2591,4.718498871295094,7.860185057472165,0
9,0,105,127,2432,4.852030263919617,7.796880342783522,0
9,0,106,879,2593,6.779921907472252,7.860956364876389,0
9,0,107,1,168,0.6931471805599453,5.1298987149230735,0
9,0,108,415,354,6.030685260261263,5.872117789475416,0
9,0,109,92,1990,4.532599493153256,7.596392304064196,0
