YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,DT18,3617,3393
2025-10,WEEKDAY,17,TRAIN,BP8,3120,2790
2025-10,WEEKDAY,19,TRAIN,SW6,2564,9305
2025-10,WEEKENDS/HOLIDAY,13,TRAIN,CC3,5916,8599
2025-10,WEEKDAY,0,TRAIN,DT6,28,442
2025-10,WEEKDAY,12,TRAIN,NS9/TE2,53828,56968
2025-10,WEEKDAY,21,TRAIN,NS10,16953,54565
2025-10,WEEKDAY,19,TRAIN,EW9,25821,68493
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,CC5,4516,5202
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,BP10,1187,1675
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,DT31,2879,5224
2025-10,WEEKDAY,18,TRAIN,NS21/DT11,150852,151037
2025-10,WEEKDAY,11,TRAIN,EW33,3156,1910
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,SW2,2749,2628
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,SE4,857,277
2025-10,WEEKDAY,8,TRAIN,CC23,5473,87707
2025-10,WEEKENDS/HOLIDAY,19,TRAIN,EW5,13507,18557
2025-10,WEEKDAY,9,TRAIN,DT29,17180,5351
2025-10,WEEKDAY,11,TRAIN,TE13,5520,4628
2025-10,WEEKENDS/HOLIDAY,6,TRAIN,EW2/DT32,8470,4444
2025-10,WEEKDAY,11,TRAIN,DT10,5234,2071
2025-10,WEEKDAY,9,TRAIN,EW22,8847,24004
2025-10,WEEKENDS/HOLIDAY,8,TRAIN,NE10,6010,4727
2025-10,WEEKDAY,0,TRAIN,EW26,73,4557
2025-10,WEEKENDS/HOLIDAY,18,TRAIN,PW6,545,792
2025-10,WEEKENDS/HOLIDAY,9,TRAIN,BP5,1175,744
